Time,User,Page,Data
2022-07-21 07:52:08.598644,admin,DeviceDetails,"{'ID': 'E74552K5J157940', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-21 07:52:25.930430,admin,DeviceDetails,"{'ID': 'E74552K5J157940', 'deviceId': False, 'location': 'HA 1.OG Raum19', 'contact': 'Fr. Zienert', 'notes': False}"
2022-07-21 07:53:04.151691,admin,DeviceDetails,"{'ID': 'E74552C6J373779', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-21 07:53:55.904345,admin,DeviceDetails,"{'ID': 'E74552C6J373779', 'deviceId': False, 'location': 'Büro Verwaltung', 'contact': 'Fr. Millow/Müller', 'notes': False}"
2022-07-21 07:54:09.742550,admin,DeviceDetails,"{'ID': 'E74555M7J635297', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-21 07:55:16.044607,admin,DeviceDetails,"{'ID': 'E74555M7J635297', 'deviceId': False, 'location': 'HA 2 2.OG Elektronik', 'contact': 'Hr. Vogt', 'notes': False}"
2022-07-21 07:56:06.405134,admin,DeviceDetails,"{'ID': 'W2J8718679', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-21 07:56:18.597154,admin,DeviceDetails,"{'ID': 'W2J8718679', 'deviceId': False, 'location': 'HA 1.OG Coachraum', 'contact': ' ', 'notes': 'OrgaRent (Leasing Device)'}"
2022-07-21 07:56:44.473700,admin,DeviceDetails,"{'ID': 'LW16945225', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-21 07:57:08.730600,admin,DeviceDetails,"{'ID': 'LW16945225', 'deviceId': False, 'location': 'Dom. Gästehaus Empfang', 'contact': False, 'notes': 'OrgaRent (Leasing Device)'}"
2022-07-21 07:57:23.124645,admin,DeviceDetails,"{'ID': 'E79028F1N485593', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-21 07:58:00.280077,admin,DeviceDetails,"{'ID': 'E79028F1N485593', 'deviceId': False, 'location': 'HA 1.OG Raum 9', 'contact': 'Fr. Bernheim', 'notes': False}"
2022-07-21 12:47:32.580177,Raze,DeviceDetails,"{'ID': 'E79028J1N561465', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-07-21 12:47:40.667133,Raze,DeviceDetails,"{'ID': 'E79028J1N561465', 'deviceId': 'WJW4148', 'location': 'BeSt', 'contact': 'Schoenstedt Anna', 'notes': False}"
2022-08-02 11:40:50.987329,Raze,DeviceDetails,"{'ID': 'NaN', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-08-02 11:41:29.959157,Raze,DeviceDetails,"{'ID': 'W2J8718679', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-08-11 06:20:32.538587,Raze,DeviceDetails,"{'ID': 'E79028D1N412406', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-08-11 06:21:37.925660,Raze,DeviceDetails,"{'ID': 'E79028D1N412406', 'deviceId': False, 'location': 'Dom. Pädagogenhaus 14c', 'contact': 'Herr Zentgraf', 'notes': False}"
2022-08-11 06:22:05.891325,Raze,DeviceDetails,"{'ID': 'N2E3508435', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-08-18 14:41:48.210261,Raze,DeviceDetails,"{'ID': 'E79028J1N591625', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
2022-08-25 05:40:24.798078,Raze,DeviceDetails,"{'ID': 'E71809E4J366792', 'deviceId': False, 'location': False, 'contact': False, 'notes': False}"
